id,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,correta,explicacao,dificuldade,tags
H1M-001,Hemorragias da 1ª  Metade da Gestação,"Gestante de 8 semanas com sangramento discreto, colo fechado e BCF presente ao US. Diagnóstico mais provável:",Aborto completo,Aborto inevitável,Aborto retido,Ameaça de aborto,Aborto recorrente,D,Ameaça de aborto: sangramento com feto vivo e colo impérvio.,2,"aborto,diagnóstico,1ª metade"
H1M-002,Hemorragias da 1ª  Metade da Gestação,Qual é a principal causa de abortamento espontâneo no 1º trimestre?,Malformações uterinas,Anomalias cromossômicas (aneuploidias),Infecções virais,Trombofilias herdadas,Insuficiência lútea,B,Aneuploidias são a causa mais comum no 1º trimestre.,2,"aborto,etiologia,aneuploidia"
H1M-003,Hemorragias da 1ª  Metade da Gestação,Paciente com abortamento retido. Qual complicação hematológica deve ser lembrada?,Anemia hemolítica,Coagulopatia com CIVD,Policitemia,Neutropenia,Trombocitose reativa,B,Abortamento retido pode cursar com coagulopatia (CIVD).,3,"aborto retido,complicações,CIVD"
H1M-004,Hemorragias da 1ª  Metade da Gestação,Misoprostol é contraindicado em qual situação abaixo?,Asma moderada controlada,Hipotireoidismo controlado,Cicatriz uterina prévia (cesárea/miomectomia),Alergia a penicilina,Gestação gemelar,C,Cicatriz uterina aumenta risco de rotura com prostaglandínicos.,3,"misoprostol,conduta,segurança"
H1M-005,Hemorragias da 1ª  Metade da Gestação,"Em suspeita de gravidez ectópica, qual achado ultrassonográfico transvaginal fortemente sugere o diagnóstico quando β-hCG > 1500 UI/L?",Útero aumentado com saco gestacional intrauterino,Útero vazio sem massa anexial,Útero vazio e saco gestacional fora do útero,Placenta prévia,Cisto lúteo hemorrágico,C,"Com β-hCG acima da zona discriminatória, ausência de gestação intrauterina e saco gestacional extrauterino confirma ectópica.",4,"ectópica,ultrassom,beta-hCG"
H1M-006,Hemorragias da 1ª  Metade da Gestação,"Sobre doença trofoblástica gestacional, assinale a correta:",Mola completa costuma ter β-hCG baixo e tecido fetal presente,Mola parcial tem maior risco de neoplasia que a completa,Mola completa apresenta vesículas em 'cacho de uva' e geralmente β-hCG muito elevado,Mola parcial nunca tem tecido fetal,Coriocarcinoma mantém vilosidades coriais intactas,C,"Mola completa: vesículas hidrópicas difusas, sem feto, β-hCG elevado.",3,"mola hidatiforme,DTG,hCG"
H1M-007,Hemorragias da 1ª  Metade da Gestação,"Paciente Rh negativo, parceiro Rh positivo, aborto com esvaziamento uterino. Conduta profilática:",Não fazer nada se Coombs indireto negativo,Imunoglobulina anti-D até 72h,Imunoglobulina anti-A até 72h,Corticoterapia 48h,Plasma fresco congelado,B,Profilaxia anti-D deve ser administrada em até 72 horas em eventos de risco.,2,"isoimunização,anti-D,aborto"
H1M-008,Hemorragias da 1ª  Metade da Gestação,Qual é o principal fator de risco materno para gravidez ectópica?,Multiparidade,Uso de anticoncepcional oral combinado,Tabagismo severo e doença tubária prévia,Hipotireoidismo,Asma,C,"Dano tubário (DIP, cirurgia) e tabagismo elevam risco de ectópica.",3,"ectópica,fatores de risco,trompa"
H1M-009,Hemorragias da 1ª  Metade da Gestação,"Em abortamento infectado, o esquema antimicrobiano empírico clássico inclui:",Ceftriaxona + azitromicina,Ampicilina + gentamicina + metronidazol,Amoxicilina + clavulanato,Piperacilina-tazobactam em monoterapia,Ciprofloxacino,B,Esquema tríplice cobre anaeróbios e Gram-negativos usuais.,3,"aborto séptico,antibiótico,conduta"
H1M-010,Hemorragias da 1ª  Metade da Gestação,"Sobre condutas no abortamento, assinale a correta:",Ocitocina é droga de escolha para esvaziamento até 12 semanas,AMIU é opção até 12 semanas com cânula de Karman,Toda paciente deve ir à cirurgia,Misoprostol é proibido na ausência de cicatriz uterina,A curetagem é isenta de riscos,B,Aspiração manual intrauterina (AMIU) é eficaz e segura até 12 semanas.,2,"AMIU,aspiração,curetagem"
H2M-001,Hemorragias da 2ª Metada de Gestação,"Sangramento súbito, vermelho vivo, indolor, em 32 semanas, com feto reativo. Pense em:",DPP,Placenta prévia,Rotura uterina,Vasa prévia rota,Cólica renal,B,Placenta prévia cursa com sangramento indolor e sem sofrimento fetal imediato.,3,"placenta prévia,clínica,2ª metade"
H2M-002,Hemorragias da 2ª Metada de Gestação,Em placenta prévia centro-total a via de parto indicada é:,Parto vaginal com amniotomia tardia,Parto vaginal com fórceps,Cesárea eletiva,Ocitocina em altas doses,Versão cefálica externa,C,Centro-total obstrui OI do colo; cesárea é indicada.,2,"placenta prévia,via de parto,conduta"
H2M-003,Hemorragias da 2ª Metada de Gestação,Descolamento prematuro de placenta (DPP) é classicamente associado a:,Sangramento claro sem coágulos e útero flácido,Sangramento escuro com coágulos e hipertonia uterina,Sangramento mínimo e BCF normal,Sangramento indolor com apresentação córmica,Sangramento com sopro placentário à especular,B,"DPP: sangue escuro/coágulos, hipertonia e sofrimento fetal.",3,"DPP,clínica,emergência"
H2M-004,Hemorragias da 2ª Metada de Gestação,"Em DPP com feto vivo, qual é a conduta?",Aguardar evolução com analgesia,Prova de Pose,Amniotomia e cesárea de urgência conforme quadro,Tocolíticos de manutenção,Alta com retorno em 48h,C,Conduta deve ser imediata: amniotomia auxilia e cesárea de urgência conforme gravidade.,4,"DPP,conduta,parto"
H2M-005,Hemorragias da 2ª Metada de Gestação,Invasão placentária que alcança órgãos adjacentes caracteriza:,Placenta acreta,Placenta increta,Placenta percreta,Placenta marginal,Lobo placentário acessório,C,Percreta ultrapassa serosa e invade órgãos (ex.: bexiga).,3,"acretismo,percreta,increta"
