id,tema,enunciado,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,correta,explicacao,dificuldade,tags
CUR2-001,Hemorragias da 1ª  Metade da Gestação,"Em obstetrícia, a definição operacional de aborto no contexto de provas nacionais costuma considerar:",Interrupção até 24 semanas ou peso < 600 g,Interrupção até 20–22 semanas ou peso < 500 g (dependente do serviço),Interrupção até 26 semanas ou peso < 700 g,"Exclusivamente antes de 12 semanas, independentemente do peso","Até 28 semanas, desde que sem BCF",B,A maioria dos protocolos define aborto até ~20–22s ou peso <500 g; valores maiores (24–26s/600–700 g) são usados em outros contextos e não para definir aborto em provas.,2,"aborto,definição,provas"
CUR2-002,Hemorragias da 1ª  Metade da Gestação,"Mulher de 9s com sangramento discreto e cólica leve. US: SG intrauterino, BCF presente, colo fechado. Classificação e conduta:",Aborto inevitável; internação e esvaziamento imediato,Ameaça de aborto; orientação de sinais de alarme e reavaliação,Aborto completo; alta sem seguimento,Aborto retido; misoprostol,Gestação anembrionária; metotrexato,B,BCF presente e colo fechado definem ameaça de aborto; conduta expectante com orientação e retorno.,2,"ameaça,conduta"
CUR2-003,Hemorragias da 1ª  Metade da Gestação,"Paciente 8s, sangramento fétido, febre 38,7ºC, dor hipogástrica após tentativa de esvaziamento em domicílio. Conduta inicial:",Esvaziamento uterino imediato sem antibiótico,Preferencialmente misoprostol e alta,Antibiótico EV de amplo espectro + estabilização + esvaziamento em centro cirúrgico,Aguardar 48h e reavaliar,Analgesia e alta,C,"Aborto séptico: estabilizar, antibiótico amplo (cobrir G+, G− e anaeróbios) e evacuação uterina hospitalar.",4,"aborto séptico,ATB,esvaziamento"
CUR2-004,Hemorragias da 1ª  Metade da Gestação,"Mulher 10s com duas US seriadas mostrando ausência de BCF, sem sangramento. β-hCG em queda. Diagnóstico e melhor manejo:",Ameaça de aborto; preferencialmente observar,Aborto retido; AMIU ou misoprostol conforme preferência e recursos,Aborto completo; alta definitiva,Gestação anembrionária; metotrexato,Ectópica; laparoscopia,B,"Aborto retido confirmado: pode ser manejado com aspiração (AMIU) ou misoprostol, conforme protocolo e desejo.",3,"aborto retido,AMIU,misoprostol"
CUR2-005,Hemorragias da 1ª  Metade da Gestação,Assinale o par INCORRETO quanto à classificação de abortos:,"Ameaça de aborto — BCF presente, colo fechado, sangramento discreto","Aborto inevitável — colo pérvio, sangramento, sem eliminação de produtos","Aborto completo — sangramento mínimo, US sem restos",Aborto infectado — febre/odor fétido; tratar ambulatorial com azitromicina,Aborto retido — SG sem BCF em controles seriados,D,"Aborto infectado exige internação, antibiótico EV amplo e evacuação uterina; não é ambulatorial com azitromicina.",3,"classificação,aborto"
CUR2-006,Hemorragias da 1ª  Metade da Gestação,"Gestante 7–8s com dor unilateral e sangramento escasso. US transvaginal: útero vazio e massa anexial 3,2 cm; β-hCG 2.900 mUI/mL; estável e sem BCF. Melhor conduta:","MTX se massa ≤3,5–4 cm, sem BCF, β‑hCG moderado e estabilidade hemodinâmica",MTX habitualmente que houver BCF e β‑hCG >10.000,MTX preferencialmente quando a dor for intensa ou PA baixa,MTX é contraindicada quando a massa <2 cm,MTX é preferível em choque hemorrágico,A,"Critérios usuais para MTX: estabilidade, ausência de BCF, massa ≤3,5–4 cm e β‑hCG não muito elevado; choque/BCF indicam abordagem cirúrgica.",3,"ectópica,metotrexato,critérios"
CUR2-007,Hemorragias da 1ª  Metade da Gestação,"Sobre gestação ectópica, marque a INCORRETA:",Local mais comum é a porção ampular da tuba uterina,"β-hCG > 5.000, BCF presente ou massa > 4 cm são contraindicações relativas a MTX clínico",Choque/irritação peritoneal indicam abordagem cirúrgica imediata,"Após MTX, β-hCG pode subir no D3; a queda esperada é avaliada no D4–D7",Gestação ectópica cervical é a localização mais comum,E,A localização mais comum é tubária ampular; cervical é rara.,3,"ectópica,localização,critérios MTX"
CUR2-008,Hemorragias da 1ª  Metade da Gestação,"Paciente chega com dor súbita intensa, síncope, PA 80/50, abdome em tábua; suspeita de ectópica rota. Conduta:",US e observar 24h,Metotrexato dose única,Cirurgia imediata (laparoscopia/laparotomia),Progesterona,Alta com retorno em 72h,C,Instabilidade/hemo peritônio impõem abordagem cirúrgica imediata.,4,"ectópica rota,emergência"
CUR2-009,Hemorragias da 1ª  Metade da Gestação,"US 11s com imagem em ‘nevasca’, ausência de embrião; β-hCG muito elevado, útero > IG. Melhor conduta inicial:",Expectante por 2 semanas,Aspirar por sucção (AMIU) com envio para AP,Indução com ocitocina isolada,Metotrexato sistêmico,Laparotomia,B,Mola completa: esvaziamento por aspiração e AP; evitar ocitócicos isolados.,4,"DTG,mola completa,esvaziamento"
CUR2-010,Hemorragias da 1ª  Metade da Gestação,"Após AMIU por mola hidatiforme, o seguimento adequado inclui:",β-hCG preferencialmente trimestral por 1 ano,"β-hCG semanal até negativar (3 valores), depois mensal por 6–12 meses, com anticoncepção",Alta sem seguimento se assintomática,US mensal sem β-hCG,Repetir AMIU de rotina,B,Seguimento seriado com β-hCG e contracepção para detectar/evitar GTN não reconhecida.,3,"DTG,seguimento,β-hCG"
